Time,Mean,Ensemble_uncertainty_(1sigma),Coverage_uncertainty_(1sigma),Total_uncert_(1sigma)
1859.5,-0.353070281,0.040324007,0.011836979,0.042025464
1860.5,-0.348581088,0.04033131,0.011696732,0.041993191
1861.5,-0.355341736,0.040384467,0.011631701,0.042026202
1862.5,-0.360277311,0.039550194,0.011533071,0.041197446
1863.5,-0.363824434,0.039002486,0.011432466,0.040643513
1864.5,-0.367910952,0.039325749,0.011378645,0.040938834
1865.5,-0.371846412,0.039985192,0.011308473,0.041553545
1866.5,-0.377034221,0.040479574,0.011216622,0.042004863
1867.5,-0.35872816,0.040268682,0.011134994,0.041779838
1868.5,-0.339855635,0.040012098,0.011030917,0.041504808
1869.5,-0.340974092,0.040765178,0.010935861,0.042206549
1870.5,-0.337257436,0.040834248,0.010835266,0.042247353
1871.5,-0.327414065,0.040569619,0.010623022,0.041937365
1872.5,-0.315372099,0.040333213,0.010398832,0.041652177
1873.5,-0.315483616,0.039916013,0.009985879,0.041146153
1874.5,-0.316826365,0.039079723,0.009629693,0.040248673
1875.5,-0.323758478,0.038733245,0.009137057,0.039796358
1876.5,-0.327739284,0.038219616,0.008641302,0.039184322
1877.5,-0.334828866,0.037646269,0.00811877,0.038511764
1878.5,-0.336206454,0.037363018,0.007704049,0.038149017
1879.5,-0.332871634,0.037120661,0.007471642,0.037865141
1880.5,-0.341818166,0.037481998,0.007356896,0.038197174
1881.5,-0.343455775,0.037932922,0.007259304,0.03862129
1882.5,-0.352428171,0.038584523,0.007192349,0.039249144
1883.5,-0.360094287,0.039287241,0.007160954,0.039934528
1884.5,-0.365619924,0.040005106,0.007110968,0.040632184
1885.5,-0.369276207,0.040325565,0.007109783,0.04094753
1886.5,-0.362271076,0.040661608,0.007047607,0.041267846
1887.5,-0.370205642,0.041313504,0.007041979,0.041909367
1888.5,-0.393929489,0.042247167,0.007008062,0.042824479
1889.5,-0.396519455,0.042761877,0.006943041,0.043321865
1890.5,-0.392452548,0.043394151,0.006888187,0.043937449
1891.5,-0.395510784,0.044136735,0.006839446,0.044663513
1892.5,-0.402682106,0.044587586,0.006824175,0.045106786
1893.5,-0.412022741,0.045173937,0.006822752,0.045686262
1894.5,-0.417282291,0.045747645,0.006801309,0.046250458
1895.5,-0.414115773,0.046263809,0.006788036,0.046759143
1896.5,-0.409026031,0.047062656,0.006811926,0.047553086
1897.5,-0.409290558,0.047114666,0.006817361,0.047605338
1898.5,-0.416012598,0.047304094,0.006800664,0.047790442
1899.5,-0.430302178,0.047110955,0.006775885,0.047595742
1900.5,-0.431504744,0.046738419,0.006741311,0.047222083
1901.5,-0.438392947,0.04612975,0.006675249,0.046610222
1902.5,-0.436791954,0.045233394,0.006586513,0.045710415
1903.5,-0.435411548,0.04468761,0.006527343,0.045161805
1904.5,-0.42434518,0.043851063,0.00645669,0.04432386
1905.5,-0.41149121,0.043328934,0.006419285,0.043801869
1906.5,-0.418292003,0.042745527,0.006481912,0.043234191
1907.5,-0.432442979,0.042168938,0.006615365,0.042684685
1908.5,-0.429371578,0.04181226,0.006835799,0.042367361
1909.5,-0.427864349,0.041421521,0.007057962,0.042018534
1910.5,-0.431057408,0.04131366,0.007173482,0.041931818
1911.5,-0.428409113,0.040848496,0.007233314,0.041483978
1912.5,-0.423411972,0.040350045,0.007240181,0.040994467
1913.5,-0.412631711,0.039987768,0.007249917,0.040639671
1914.5,-0.398346243,0.039677992,0.007285959,0.040341396
1915.5,-0.392063681,0.039374796,0.007339806,0.040053057
1916.5,-0.382235992,0.039083264,0.007355881,0.039769467
1917.5,-0.368487857,0.038609473,0.00737871,0.039308228
1918.5,-0.353120163,0.038303359,0.007420489,0.039015523
1919.5,-0.345957957,0.03840065,0.007470151,0.039120495
1920.5,-0.328252753,0.038245842,0.007524395,0.038978981
1921.5,-0.306468686,0.038107773,0.007560852,0.038850597
1922.5,-0.28996484,0.038279909,0.007573803,0.039021967
1923.5,-0.282731506,0.0380342,0.007594248,0.038784958
1924.5,-0.27832652,0.037860093,0.007607867,0.038616917
1925.5,-0.279045872,0.03755023,0.007575566,0.038306775
1926.5,-0.266520762,0.037095848,0.007447306,0.037836018
1927.5,-0.240339724,0.036574191,0.007272291,0.037290182
1928.5,-0.219731556,0.035953248,0.00703418,0.036634898
1929.5,-0.205506963,0.035538822,0.006879685,0.036198591
1930.5,-0.186792418,0.034374873,0.006883397,0.035057282
1931.5,-0.172863736,0.033219509,0.006963563,0.033941523
1932.5,-0.155842747,0.032951736,0.007148105,0.03371813
1933.5,-0.139637574,0.033225411,0.007343438,0.034027254
1934.5,-0.116842232,0.033854124,0.007597654,0.034696197
1935.5,-0.100580715,0.035028452,0.007893745,0.035906875
1936.5,-0.100393696,0.03440623,0.008014948,0.03532744
1937.5,-0.093498296,0.034250167,0.008068891,0.035187795
1938.5,-0.089408069,0.034216382,0.008120846,0.035166873
1939.5,-0.076976029,0.034064886,0.008112547,0.035017565
1940.5,-0.079466848,0.03386499,0.008074369,0.034814264
1941.5,-0.077354663,0.033370584,0.00805132,0.034328118
1942.5,-0.06931385,0.033082433,0.008082814,0.034055532
1943.5,-0.049315091,0.032828941,0.008107823,0.033815325
1944.5,-0.04643576,0.032526892,0.008092427,0.033518444
1945.5,-0.045998296,0.032201549,0.008079524,0.033199676
1946.5,-0.05068053,0.032041749,0.008010559,0.033027909
1947.5,-0.051487328,0.031885812,0.007898835,0.032849606
1948.5,-0.05175892,0.031510321,0.00779532,0.032460242
1949.5,-0.0521193,0.031170158,0.007639346,0.032092653
1950.5,-0.06168907,0.030638427,0.007410932,0.031521978
1951.5,-0.064595523,0.02788718,0.007143194,0.028787498
1952.5,-0.067867963,0.025607554,0.006831545,0.026503147
1953.5,-0.070029573,0.023816621,0.006485963,0.024683985
1954.5,-0.092527906,0.022652512,0.006011168,0.023436519
1955.5,-0.104903348,0.022304387,0.005403811,0.022949659
1956.5,-0.106407497,0.02083482,0.005019459,0.021430928
1957.5,-0.107724182,0.019366341,0.00472759,0.019935026
1958.5,-0.109923496,0.017765136,0.004381877,0.018297566
1959.5,-0.104302697,0.016936509,0.004100831,0.017425904
1960.5,-0.097224811,0.015947328,0.003854917,0.016406634
1961.5,-0.104461565,0.0150404,0.003598384,0.015464864
1962.5,-0.109918858,0.01390618,0.003264224,0.014284152
1963.5,-0.111302887,0.012716406,0.002884827,0.013039525
1964.5,-0.114091704,0.011314412,0.002561889,0.011600827
1965.5,-0.109763918,0.010082055,0.002177498,0.01031452
1966.5,-0.107397482,0.008849612,0.002103089,0.009096077
1967.5,-0.100476311,0.007880572,0.002105164,0.008156907
1968.5,-0.099331885,0.006927095,0.002081233,0.007232992
1969.5,-0.092388737,0.00613128,0.002009597,0.006452215
1970.5,-0.076812156,0.005504228,0.001940468,0.005836261
1971.5,-0.063311566,0.004899988,0.001908014,0.005258365
1972.5,-0.058396015,0.004694385,0.001849048,0.005045416
1973.5,-0.045364993,0.004606582,0.001785379,0.004940463
1974.5,-0.02767224,0.004591973,0.001762975,0.00491877
1975.5,-0.014964729,0.004801024,0.001727556,0.00510238
1976.5,-0.0027355,0.005127707,0.001677881,0.005395244
1977.5,0.015292785,0.005422984,0.001626493,0.005661646
1978.5,0.037832748,0.005662758,0.001588175,0.005881252
1979.5,0.048364575,0.006072098,0.001576514,0.006273418
1980.5,0.070646898,0.006450843,0.001541518,0.006632469
1981.5,0.097886177,0.00670105,0.001486537,0.006863954
1982.5,0.108820584,0.007039355,0.001465993,0.007190386
1983.5,0.114608436,0.007274927,0.001455113,0.007419024
1984.5,0.134912254,0.007539174,0.001406781,0.007669301
1985.5,0.159293271,0.007529669,0.001362868,0.007652014
1986.5,0.183919585,0.007644826,0.00126874,0.007749391
1987.5,0.199880585,0.007772667,0.001186776,0.007862747
1988.5,0.228484871,0.007956657,0.001123194,0.008035543
1989.5,0.240166213,0.008033185,0.001125018,0.00811158
1990.5,0.246916849,0.008074208,0.001136458,0.008153795
1991.5,0.258880264,0.008052746,0.001139607,0.008132984
1992.5,0.284340175,0.008206194,0.001116974,0.008281863
1993.5,0.30035819,0.008278452,0.001106756,0.008352106
1994.5,0.32132705,0.008394479,0.001110068,0.008467557
1995.5,0.349183688,0.008400063,0.00111496,0.008473735
1996.5,0.373026974,0.008588381,0.001120718,0.008661195
1997.5,0.390460719,0.008733971,0.00112511,0.008806141
1998.5,0.399635626,0.008818727,0.001130894,0.008890943
1999.5,0.420512191,0.008968074,0.001117394,0.009037418
2000.5,0.436501642,0.009097873,0.00111249,0.009165638
2001.5,0.446441701,0.009191473,0.001113783,0.009258709
2002.5,0.469077212,0.009214544,0.001094672,0.009279338
2003.5,0.491970617,0.009274536,0.001072612,0.009336355
2004.5,0.51393671,0.009327369,0.001055431,0.009386893
2005.5,0.536349124,0.00948814,0.001040436,0.009545015
2006.5,0.56916101,0.009512013,0.001019504,0.009566493
2007.5,0.590304297,0.009563204,0.001011649,0.009616564
2008.5,0.599569916,0.009602674,0.001001441,0.009654752
2009.5,0.627899297,0.009676221,0.000986232,0.009726351
2010.5,0.657491084,0.009702176,0.00098072,0.009751617
2011.5,0.671122345,0.009897672,0.000953618,0.009943506
2012.5,0.684014285,0.009981988,0.000944615,0.010026584
2013.5,0.711821413,0.010054876,0.000948779,0.01009954
2014.5,0.747492882,0.010192879,0.00093091,0.0102353
2015.5,0.776663892,0.010371636,0.003535011,0.010957515