year,0-6000m_60Lat,0-6000m_60Lat_se
1960,0,22.21490931
1961,15.7341175,21.84202687
1962,28.681606,17.58378271
1963,21.137104,15.7115409
1964,9.803075,23.46866619
1965,-0.31271192,1.835213876
1966,14.841216,5.72064745
1967,2.6593575,16.29650054
1968,-18.206936,14.74873991
1969,-6.6342525,18.17793346
1970,-9.582597,11.22043968
1971,9.4255295,7.663305152
1972,9.39377,11.51272467
1973,14.937863,14.86444056
1974,26.781303,20.89974276
1975,40.523838,15.44209043
1976,31.340206,17.15707774
1977,45.882458,28.89360532
1978,57.353737,34.69550047
1979,42.907936,22.65444866
1980,67.75988,30.25997325
1981,63.948917,20.59382267
1982,44.092007,9.473809653
1983,36.69124,14.205246
1984,50.75211,32.29430039
1985,60.67127,26.22478716
1986,71.32923,13.81102968
1987,61.406147,15.74656458
1988,67.507965,16.13030442
1989,64.76421,18.0361563
1990,62.132812,18.85604744
1991,85.6609,16.49027941
1992,84.86554,8.991683979
1993,99.470894,12.26503016
1994,106.298545,10.59186087
1995,91.04415,15.09878468
1996,119.98758,13.26731883
1997,116.52694,1.139890997
1998,117.340685,13.38367227
1999,135.31802,5.00716762
2000,129.68714,10.76895873
2001,133.35812,4.542584201
2002,165.54915,2.945749292
2003,193.28711,6.150013978
2004,193.12026,6.064072983
2005,193.38425,12.91313523
2006,204.96625,10.6563939
2007,203.59004,7.99510682
2008,217.64767,7.722574341
2009,228.83923,4.648478319
2010,227.69424,5.640024264
2011,237.52163,4.897661683
2012,245.9517,5.547590185
2013,269.50617,3.645084913
2014,281.18885,5.261094342
2015,299.56845,6.402691784
2016,291.09024,6.897350337
2017,313.6238,6.151698127
2018,324.5249,8.172364466
2019,340.98437,8.576080246
2020,344.71835,8.438802286