year,0-2000m_allLat,0-2000m_allLat_se
1955,0,9.225
1956,21.7,9.175
1957,4,9.1
1958,40.7,9.025
1959,22.5,9.1
1960,50.1,9
1961,65.1,9
1962,83.8,8.925
1963,77.7,8.875
1964,74.4,8.825
1965,75.1,8.75
1966,84.9,8.725
1967,58.1,8.625
1968,40.2,8.5
1969,49.7,8.475
1970,64.3,8.4
1971,88.3,8.2
1972,82,8.25
1973,86.7,8.275
1974,81.7,8.4
1975,108.7,8.425
1976,98.1,8.325
1977,97.4,8.35
1978,98.5,8.3
1979,101.7,8.2
1980,134.9,8.125
1981,142.3,8.15
1982,120.5,8.125
1983,112,8.075
1984,124.8,8.125
1985,139.4,8.025
1986,141.6,8.025
1987,122.9,7.9
1988,147.5,7.925
1989,150,7.975
1990,149.8,7.775
1991,160.7,7.775
1992,187.1,7.7
1993,189.5,7.65
1994,190.7,7.775
1995,161.5,7.65
1996,191.3,7.65
1997,198.6,7.625
1998,183.9,7.575
1999,216,7.575
2000,201.7,7.625
2001,222.2,7.625
2002,252.2,7.475
2003,283.8,7.05
2004,277.4,6.625
2005,281.5,6.225
2006,295.3,6.05
2007,277.1,5.925
2008,294.9,5.8
2009,309.1,5.675
2010,310.8,5.675
2011,324.9,5.65
2012,327.5,5.625
2013,356.1,5.85
2014,362.9,5.85
2015,382.2,5.775
2016,371.6,5.775
2017,401.8,5.775
2018,408.6,5.8
2019,428.1,5.875
2020,433.1,5.95
2021,450.6,6.2
2022,467.7,6.325
2023,465.8,6.275
2024,488.4,6.325